KIN,調性數字,調性,圖騰數字,圖騰,主印記,矩陣位置,KIN,波符,波符加印記,城堡,波符加印記城堡,銀河季節,波符加印記城堡銀河季節,諧波,密碼子,調性數字,調性,圖騰數字,圖騰,星際原型,BMU,行星,流,電路,說明,家族,對應脈輪,電路,電路說明
189,7,共振,9,紅月,共振紅月,V10:H09,189,藍夜波符,藍夜波符共振紅月,黃色南方給予城堡,黃色南方給予城堡藍夜波符共振紅月,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符共振紅月,"諧波48
行星的作用，構建顯化的自由意志","第7股 心電感應之道
靜心冥想/聖殿
52艮為山卦",,,,,,,,,,,,,,
190,8,銀河星系,10,白狗,銀河星系白狗,V10:H10,190,藍夜波符,藍夜波符銀河星系白狗,黃色南方給予城堡,黃色南方給予城堡藍夜波符銀河星系白狗,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符銀河星系白狗,"諧波48
行星的作用，構建顯化的自由意志","第7股 心電感應之道
靜心冥想/聖殿
52艮為山卦",,,,,,,,,,,,,,
191,9,太陽,11,藍猴,太陽藍猴,V10:H11,191,藍夜波符,藍夜波符太陽藍猴,黃色南方給予城堡,黃色南方給予城堡藍夜波符太陽藍猴,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符太陽藍猴,"諧波48
行星的作用，構建顯化的自由意志","第7股 心電感應之道
靜心冥想/聖殿
52艮為山卦",,,,,,,,,,,,,,
192,10,行星,12,黃人,行星黃人,V10:H12,192,藍夜波符,藍夜波符行星黃人,黃色南方給予城堡,黃色南方給予城堡藍夜波符行星黃人,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符行星黃人,"諧波48
行星的作用，構建顯化的自由意志","第7股 心電感應之道
靜心冥想/聖殿
52艮為山卦",,,,,,,,,,,,,,
193,11,光譜,13,紅天行者,光譜紅天行者,V10:H13,193,藍夜波符,藍夜波符光譜紅天行者,黃色南方給予城堡,黃色南方給予城堡藍夜波符光譜紅天行者,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符光譜紅天行者,"諧波49
磁性的輸出，表現目的的智能","第4股 第四超越之道
共時性
25天雷無妄卦",,,,,,,,,,,,,,
194,12,水晶,14,白巫師,水晶白巫師,V10:H14,194,藍夜波符,藍夜波符水晶白巫師,黃色南方給予城堡,黃色南方給予城堡藍夜波符水晶白巫師,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符水晶白巫師,"諧波49
磁性的輸出，表現目的的智能","第4股 第四超越之道
共時性
25天雷無妄卦",,,,,,,,,,,,,,
195,13,宇宙,15,藍鷹,宇宙藍鷹,V10:H15,195,藍夜波符,藍夜波符宇宙藍鷹,黃色南方給予城堡,黃色南方給予城堡藍夜波符宇宙藍鷹,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡藍夜波符宇宙藍鷹,"諧波49
磁性的輸出，表現目的的智能","第4股 第四超越之道
共時性
25天雷無妄卦",,,,,,,,,,,,,,
196,1,磁性,16,黃戰士,磁性黃戰士,V10:H16,196,黃戰士波符,黃戰士波符磁性黃戰士,黃色南方給予城堡,黃色南方給予城堡黃戰士波符磁性黃戰士,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符磁性黃戰士,"諧波49
磁性的輸出，表現目的的智能","第4股 第四超越之道
共時性
25天雷無妄卦",,,,,,,,,,,,,,
197,2,月亮,17,紅地球,月亮紅地球,V10:H17,197,黃戰士波符,黃戰士波符月亮紅地球,黃色南方給予城堡,黃色南方給予城堡黃戰士波符月亮紅地球,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符月亮紅地球,"諧波50
超頻的母體矩陣，自我調整光芒四射的宇宙之火","第2股 舉止之道
眾人之道
15地山謙卦",,,,,,,,,,,,,,
198,3,電力,18,白鏡,電力白鏡,V10:H18,198,黃戰士波符,黃戰士波符電力白鏡,黃色南方給予城堡,黃色南方給予城堡黃戰士波符電力白鏡,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符電力白鏡,"諧波50
超頻的母體矩陣，自我調整光芒四射的宇宙之火",S,,,,,,,,,,,,,,
199,4,自我存在,19,藍風暴,自我存在藍風暴,V10:H19,199,黃戰士波符,黃戰士波符自我存在藍風暴,黃色南方給予城堡,黃色南方給予城堡黃戰士波符自我存在藍風暴,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符自我存在藍風暴,"諧波50
超頻的母體矩陣，自我調整光芒四射的宇宙之火","第2股 舉止之道
眾人之道
15地山謙卦",,,,,,,,,,,,,,
200,5,超頻,20,黃太陽,超頻黃太陽,V10:H20,200,黃戰士波符,黃戰士波符超頻黃太陽,黃色南方給予城堡,黃色南方給予城堡黃戰士波符超頻黃太陽,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符超頻黃太陽,"諧波50
超頻的母體矩陣，自我調整光芒四射的宇宙之火","第2股 舉止之道
眾人之道
15地山謙卦",,,,,,,,,,,,,,
201,6,韻律,1,紅龍,韻律紅龍,V11:H01,201,黃戰士波符,黃戰士波符韻律紅龍,黃色南方給予城堡,黃色南方給予城堡黃戰士波符韻律紅龍,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符韻律紅龍,"諧波51
太陽的輸入，
賦予意圖的盛開","第3股 行使力量之道
喚起喜悅
17澤雷隨卦",,,,,,,,,,,,,,
202,7,共振,2,白風,共振白風,V11:H02,202,黃戰士波符,黃戰士波符共振白風,黃色南方給予城堡,黃色南方給予城堡黃戰士波符共振白風,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符共振白風,"諧波51
太陽的輸入，
賦予意圖的盛開","第3股 行使力量之道
喚起喜悅
17澤雷隨卦",,,,,,,,,,,,,,
203,8,銀河星系,3,藍夜,銀河星系藍夜,V11:H03,203,黃戰士波符,黃戰士波符銀河星系藍夜,黃色南方給予城堡,黃色南方給予城堡黃戰士波符銀河星系藍夜,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符銀河星系藍夜,"諧波51
太陽的輸入，
賦予意圖的盛開","第3股 行使力量之道
喚起喜悅
17澤雷隨卦",,,,,,,,,,,,,,
204,9,太陽,4,黃種子,太陽黃種子,V11:H04,204,黃戰士波符,黃戰士波符太陽黃種子,黃色南方給予城堡,黃色南方給予城堡黃戰士波符太陽黃種子,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符太陽黃種子,"諧波51
太陽的輸入，
賦予意圖的盛開","第3股 行使力量之道
喚起喜悅
17澤雷隨卦",,,,,,,,,,,,,,
205,10,行星,5,紅蛇,行星紅蛇,V11:H05,205,黃戰士波符,黃戰士波符行星紅蛇,黃色南方給予城堡,黃色南方給予城堡黃戰士波符行星紅蛇,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符行星紅蛇,"諧波52
宇宙的儲存，記得當下的優雅","第2股 舉止之道
穩固
12天地否卦",,,,,,,,,,,,,,
206,11,光譜,6,白世界橋,光譜白世界橋,V11:H06,206,黃戰士波符,黃戰士波符光譜白世界橋,黃色南方給予城堡,黃色南方給予城堡黃戰士波符光譜白世界橋,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符光譜白世界橋,"諧波52
宇宙的儲存，記得當下的優雅","第2股 舉止之道
穩固
12天地否卦",,,,,,,,,,,,,,
207,12,水晶,7,藍手,水晶藍手,V11:H07,207,黃戰士波符,黃戰士波符水晶藍手,黃色南方給予城堡,黃色南方給予城堡黃戰士波符水晶藍手,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符水晶藍手,"諧波52
宇宙的儲存，記得當下的優雅","第2股 舉止之道
穩固
12天地否卦",,,,,,,,,,,,,,
208,13,宇宙,8,黃星星,宇宙黃星星,V11:H08,208,黃戰士波符,黃戰士波符宇宙黃星星,黃色南方給予城堡,黃色南方給予城堡黃戰士波符宇宙黃星星,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節黃色南方給予城堡黃戰士波符宇宙黃星星,"諧波52
宇宙的儲存，記得當下的優雅","第2股 舉止之道
穩固
12天地否卦",,,,,,,,,,,,,,
209,1,磁性,9,紅月,磁性紅月,V11:H09,209,紅月波符,紅月波符磁性紅月,綠色中央魔法城堡,綠色中央魔法城堡紅月波符磁性紅月,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符磁性紅月,"諧波53
自我存在的作用，構建形式的自由意志","第3股 行使力量之道
激發視野
21火雷噬嗑卦",,,,,,,,,,,,,,
210,2,月亮,10,白狗,月亮白狗,V11:H10,210,紅月波符,紅月波符月亮白狗,綠色中央魔法城堡,綠色中央魔法城堡紅月波符月亮白狗,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符月亮白狗,"諧波53
自我存在的作用，構建形式的自由意志","第3股 行使力量之道
激發視野
21火雷噬嗑卦",,,,,,,,,,,,,,
211,3,電力,11,藍猴,電力藍猴,V11:H11,211,紅月波符,紅月波符電力藍猴,綠色中央魔法城堡,綠色中央魔法城堡紅月波符電力藍猴,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符電力藍猴,"諧波53
自我存在的作用，構建形式的自由意志","第3股 行使力量之道
激發視野
21火雷噬嗑卦",,,,,,,,,,,,,,
212,4,自我存在,12,黃人,自我存在黃人,V11:H12,212,紅月波符,紅月波符自我存在黃人,綠色中央魔法城堡,綠色中央魔法城堡紅月波符自我存在黃人,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符自我存在黃人,"諧波53
自我存在的作用，構建形式的自由意志","第3股 行使力量之道
激發視野
21火雷噬嗑卦",,,,,,,,,,,,,,
213,5,超頻,13,紅天行者,超頻紅天行者,V11:H13,213,紅月波符,紅月波符超頻紅天行者,綠色中央魔法城堡,綠色中央魔法城堡紅月波符超頻紅天行者,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符超頻紅天行者,"諧波54
銀河星系的輸出，表現完整的智能","第6股 動力建構之道
當下的海洋
45澤地萃卦",,,,,,,,,,,,,,
214,6,韻律,14,白巫師,韻律白巫師,V11:H14,214,紅月波符,紅月波符韻律白巫師,綠色中央魔法城堡,綠色中央魔法城堡紅月波符韻律白巫師,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符韻律白巫師,"諧波54
銀河星系的輸出，表現完整的智能","第6股 動力建構之道
當下的海洋
45澤地萃卦",,,,,,,,,,,,,,
215,7,共振,15,藍鷹,共振藍鷹,V11:H15,215,紅月波符,紅月波符共振藍鷹,綠色中央魔法城堡,綠色中央魔法城堡紅月波符共振藍鷹,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符共振藍鷹,"諧波54
銀河星系的輸出，表現完整的智能","第6股 動力建構之道
當下的海洋
45澤地萃卦",,,,,,,,,,,,,,
216,8,銀河星系,16,黃戰士,銀河星系黃戰士,V11:H16,216,紅月波符,紅月波符銀河星系黃戰士,綠色中央魔法城堡,綠色中央魔法城堡紅月波符銀河星系黃戰士,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符銀河星系黃戰士,"諧波54
銀河星系的輸出，表現完整的智能","第6股 動力建構之道
當下的海洋
45澤地萃卦",,,,,,,,,,,,,,
217,9,太陽,17,紅地球,太陽紅地球,V11:H17,217,紅月波符,紅月波符太陽紅地球,綠色中央魔法城堡,綠色中央魔法城堡紅月波符太陽紅地球,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符太陽紅地球,"諧波55
水晶的母體矩陣，自我調整合作的宇宙之火","第7股 心電感應之道
雷/喚醒存在
51震為雷卦",,,,,,,,,,,,,,
218,10,行星,18,白鏡,行星白鏡,V11:H18,218,紅月波符,紅月波符行星白鏡,綠色中央魔法城堡,綠色中央魔法城堡紅月波符行星白鏡,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符行星白鏡,"諧波55
水晶的母體矩陣，自我調整合作的宇宙之火","第7股 心電感應之道
雷/喚醒存在
51震為雷卦",,,,,,,,,,,,,,
219,11,光譜,19,藍風暴,光譜藍風暴,V11:H19,219,紅月波符,紅月波符光譜藍風暴,綠色中央魔法城堡,綠色中央魔法城堡紅月波符光譜藍風暴,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符光譜藍風暴,"諧波55
水晶的母體矩陣，自我調整合作的宇宙之火","第7股 心電感應之道
雷/喚醒存在
51震為雷卦",,,,,,,,,,,,,,
220,12,水晶,20,黃太陽,水晶黃太陽,V11:H20,220,紅月波符,紅月波符水晶黃太陽,綠色中央魔法城堡,綠色中央魔法城堡紅月波符水晶黃太陽,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符水晶黃太陽,"諧波55
水晶的母體矩陣，自我調整合作的宇宙之火","第7股 心電感應之道
雷/喚醒存在
51震為雷卦",,,,,,,,,,,,,,
221,13,宇宙,1,紅龍,宇宙紅龍,V12:H01,221,紅月波符,紅月波符宇宙紅龍,綠色中央魔法城堡,綠色中央魔法城堡紅月波符宇宙紅龍,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡紅月波符宇宙紅龍,"諧波56
電力的輸入，賦予服務的盛開","第5股 第五不可抑制之道
心智擴展
35火地晉卦",,,,,,,,,,,,,,
222,1,磁性,2,白風,磁性白風,V12:H02,222,白風波符,白風波符磁性白風,綠色中央魔法城堡,綠色中央魔法城堡白風波符磁性白風,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符磁性白風,"諧波56
電力的輸入，賦予服務的盛開","第5股 第五不可抑制之道
心智擴展
35火地晉卦",,,,,,,,,,,,,,
223,2,月亮,3,藍夜,月亮藍夜,V12:H03,223,白風波符,白風波符月亮藍夜,綠色中央魔法城堡,綠色中央魔法城堡白風波符月亮藍夜,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符月亮藍夜,"諧波56
電力的輸入，賦予服務的盛開","第5股 第五不可抑制之道
心智擴展
35火地晉卦",,,,,,,,,,,,,,
224,3,電力,4,黃種子,電力黃種子,V12:H04,224,白風波符,白風波符電力黃種子,綠色中央魔法城堡,綠色中央魔法城堡白風波符電力黃種子,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符電力黃種子,"諧波56
電力的輸入，賦予服務的盛開","第5股 第五不可抑制之道
心智擴展
35火地晉卦",,,,,,,,,,,,,,
225,4,自我存在,5,紅蛇,自我存在紅蛇,V12:H05,225,白風波符,白風波符自我存在紅蛇,綠色中央魔法城堡,綠色中央魔法城堡白風波符自我存在紅蛇,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符自我存在紅蛇,"諧波57
共鳴的儲存，記得協調的優雅","第6股 動力建構之道
無線傳聲之道
42風雷益卦",,,,,,,,,,,,,,
226,5,超頻,6,白世界橋,超頻白世界橋,V12:H06,226,白風波符,白風波符超頻白世界橋,綠色中央魔法城堡,綠色中央魔法城堡白風波符超頻白世界橋,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符超頻白世界橋,"諧波57
共鳴的儲存，記得協調的優雅","第6股 動力建構之道
無線傳聲之道
42風雷益卦",,,,,,,,,,,,,,
227,6,韻律,7,藍手,韻律藍手,V12:H07,227,白風波符,白風波符韻律藍手,綠色中央魔法城堡,綠色中央魔法城堡白風波符韻律藍手,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符韻律藍手,"諧波57
共鳴的儲存，記得協調的優雅","第6股 動力建構之道
無線傳聲之道
42風雷益卦",,,,,,,,,,,,,,
228,7,共振,8,黃星星,共振黃星星,V12:H08,228,白風波符,白風波符共振黃星星,綠色中央魔法城堡,綠色中央魔法城堡白風波符共振黃星星,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符共振黃星星,"諧波57
共鳴的儲存，記得協調的優雅","第6股 動力建構之道
無線傳聲之道
42風雷益卦",,,,,,,,,,,,,,
229,8,銀河星系,9,紅月,銀河星系紅月,V12:H09,229,白風波符,白風波符銀河星系紅月,綠色中央魔法城堡,綠色中央魔法城堡白風波符銀河星系紅月,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符銀河星系紅月,"諧波58
光譜的作用，構建解脫的自由意志","第2股 舉止之道
眾人得勝
16雷地豫卦",,,,,,,,,,,,,,
230,9,太陽,10,白狗,太陽白狗,V12:H10,230,白風波符,白風波符太陽白狗,綠色中央魔法城堡,綠色中央魔法城堡白風波符太陽白狗,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符太陽白狗,"諧波58
光譜的作用，構建解脫的自由意志","第2股 舉止之道
眾人得勝
16雷地豫卦",,,,,,,,,,,,,,
231,10,行星,11,藍猴,行星藍猴,V12:H11,231,白風波符,白風波符行星藍猴,綠色中央魔法城堡,綠色中央魔法城堡白風波符行星藍猴,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符行星藍猴,"諧波58
光譜的作用，構建解脫的自由意志","第2股 舉止之道
眾人得勝
16雷地豫卦",,,,,,,,,,,,,,
232,11,光譜,12,黃人,光譜黃人,V12:H12,232,白風波符,白風波符光譜黃人,綠色中央魔法城堡,綠色中央魔法城堡白風波符光譜黃人,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符光譜黃人,"諧波58
光譜的作用，構建解脫的自由意志","第2股 舉止之道
眾人得勝
16雷地豫卦",,,,,,,,,,,,,,
233,12,水晶,13,紅天行者,水晶紅天行者,V12:H13,233,白風波符,白風波符水晶紅天行者,綠色中央魔法城堡,綠色中央魔法城堡白風波符水晶紅天行者,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符水晶紅天行者,"諧波59
月亮的輸出，表現挑戰的智能","第1股 樹之道
新生萌芽
03水雷屯卦",,,,,,,,,,,,,,
234,13,宇宙,14,白巫師,宇宙白巫師,V12:H14,234,白風波符,白風波符宇宙白巫師,綠色中央魔法城堡,綠色中央魔法城堡白風波符宇宙白巫師,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符宇宙白巫師,"諧波59
月亮的輸出，表現挑戰的智能","第1股 樹之道
新生萌芽
03水雷屯卦",,,,,,,,,,,,,,
235,1,磁性,15,藍鷹,磁性藍鷹,V12:H15,235,藍鷹波符,藍鷹波符磁性藍鷹,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符磁性藍鷹,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符磁性藍鷹,"諧波59
月亮的輸出，表現挑戰的智能","第1股 樹之道
新生萌芽
03水雷屯卦",,,,,,,,,,,,,,
236,2,月亮,16,黃戰士,月亮黃戰士,V12:H16,236,藍鷹波符,藍鷹波符月亮黃戰士,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符月亮黃戰士,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符月亮黃戰士,"諧波59
月亮的輸出，表現挑戰的智能","第1股 樹之道
新生萌芽
03水雷屯卦",,,,,,,,,,,,,,
237,3,電力,17,紅地球,電力紅地球,V12:H17,237,藍鷹波符,藍鷹波符電力紅地球,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符電力紅地球,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符電力紅地球,"諧波60
韻律的母體矩陣，自我調整均衡的宇宙之火","第3股 行使力量之道
巫師之沉思
20風地觀卦",,,,,,,,,,,,,,
238,4,自我存在,18,白鏡,自我存在白鏡,V12:H18,238,藍鷹波符,藍鷹波符自我存在白鏡,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符自我存在白鏡,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符自我存在白鏡,"諧波60
韻律的母體矩陣，自我調整均衡的宇宙之火","第3股 行使力量之道
巫師之沉思
20風地觀卦",,,,,,,,,,,,,,
239,5,超頻,19,藍風暴,超頻藍風暴,V12:H19,239,藍鷹波符,藍鷹波符超頻藍風暴,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符超頻藍風暴,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符超頻藍風暴,"諧波60
韻律的母體矩陣，自我調整均衡的宇宙之火","第3股 行使力量之道
巫師之沉思
20風地觀卦",,,,,,,,,,,,,,
240,6,韻律,20,黃太陽,韻律黃太陽,V12:H20,240,藍鷹波符,藍鷹波符韻律黃太陽,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符韻律黃太陽,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符韻律黃太陽,"諧波60
韻律的母體矩陣，自我調整均衡的宇宙之火","第3股 行使力量之道
巫師之沉思
20風地觀卦",,,,,,,,,,,,,,
241,7,共振,1,紅龍,共振紅龍,V13:H01,241,藍鷹波符,藍鷹波符共振紅龍,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符共振紅龍,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符共振紅龍,"諧波61
行星的輸入，賦予顯化的盛開","第4股 第四超越之道
存在之聖殿
27山雷頤卦",,,,,,,,,,,,,,
242,8,銀河星系,2,白風,銀河星系白風,V13:H02,242,藍鷹波符,藍鷹波符銀河星系白風,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符銀河星系白風,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符銀河星系白風,"諧波61
行星的輸入，賦予顯化的盛開","第4股 第四超越之道
存在之聖殿
27山雷頤卦",,,,,,,,,,,,,,
243,9,太陽,3,藍夜,太陽藍夜,V13:H03,243,藍鷹波符,藍鷹波符太陽藍夜,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符太陽藍夜,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符太陽藍夜,"諧波61
行星的輸入，賦予顯化的盛開","第4股 第四超越之道
存在之聖殿
27山雷頤卦",,,,,,,,,,,,,,
244,10,行星,4,黃種子,行星黃種子,V13:H04,244,藍鷹波符,藍鷹波符行星黃種子,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符行星黃種子,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符行星黃種子,"諧波61
行星的輸入，賦予顯化的盛開","第4股 第四超越之道
存在之聖殿
27山雷頤卦",,,,,,,,,,,,,,
245,11,光譜,5,紅蛇,光譜紅蛇,V13:H05,245,藍鷹波符,藍鷹波符光譜紅蛇,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符光譜紅蛇,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符光譜紅蛇,"諧波62
磁性的儲存，記得目的的優雅","第1股 樹之道
眾人團結
08水地比卦",,,,,,,,,,,,,,
246,12,水晶,6,白世界橋,水晶白世界橋,V13:H06,246,藍鷹波符,藍鷹波符水晶白世界橋,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符水晶白世界橋,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符水晶白世界橋,"諧波62
磁性的儲存，記得目的的優雅","第1股 樹之道
眾人團結
08水地比卦",,,,,,,,,,,,,,
247,13,宇宙,7,藍手,宇宙藍手,V13:H07,247,藍鷹波符,藍鷹波符宇宙藍手,綠色中央魔法城堡,綠色中央魔法城堡藍鷹波符宇宙藍手,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡藍鷹波符宇宙藍手,"諧波62
磁性的儲存，記得目的的優雅","第1股 樹之道
眾人團結
08水地比卦",,,,,,,,,,,,,,
248,1,磁性,8,黃星星,磁性黃星星,V13:H08,248,黃星星波符,黃星星波符磁性黃星星,綠色中央魔法城堡,綠色中央魔法城堡黃星星波符磁性黃星星,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡黃星星波符磁性黃星星,"諧波62
磁性的儲存，記得目的的優雅","第1股 樹之道
眾人團結
08水地比卦",,,,,,,,,,,,,,
249,2,月亮,9,紅月,月亮紅月,V13:H09,249,黃星星波符,黃星星波符月亮紅月,綠色中央魔法城堡,綠色中央魔法城堡黃星星波符月亮紅月,生命力紅蛇紅色銀河季節,生命力紅蛇紅色銀河季節綠色中央魔法城堡黃星星波符月亮紅月,"諧波63
超頻的作用，構建光芒四射的自由意志","第3股 行使力量之道
榮歸
24地雷復卦",,,,,,,,,,,,,,
250,3,電力,10,白狗,電力白狗,V13:H10,250,黃星星波符,黃星星波符電力白狗,綠色中央魔法城堡,綠色中央魔法城堡黃星星波符電力白狗,愛的白狗白色銀河季節,愛的白狗白色銀河季節綠色中央魔法城堡黃星星波符電力白狗,"諧波63
超頻的作用，構建光芒四射的自由意志","第3股 行使力量之道
榮歸
24地雷復卦",,,,,,,,,,,,,,
251,4,自我存在,11,藍猴,自我存在藍猴,V13:H11,251,黃星星波符,黃星星波符自我存在藍猴,綠色中央魔法城堡,綠色中央魔法城堡黃星星波符自我存在藍猴,愛的白狗白色銀河季節,愛的白狗白色銀河季節綠色中央魔法城堡黃星星波符自我存在藍猴,"諧波63
超頻的作用，構建光芒四射的自由意志","第3股 行使力量之道
榮歸
24地雷復卦",,,,,,,,,,,,,,
252,5,超頻,12,黃人,超頻黃人,V13:H12,252,黃星星波符,黃星星波符超頻黃人,綠色中央魔法城堡,綠色中央魔法城堡黃星星波符超頻黃人,愛的白狗白色銀河季節,愛的白狗白色銀河季節綠色中央魔法城堡黃星星波符超頻黃人,"諧波63
超頻的作用，構建光芒四射的自由意志","第3股 行使力量之道
榮歸
24地雷復卦",,,,,,,,,,,,,,
253,6,韻律,13,紅天行者,韻律紅天行者,V13:H13,253,黃星星波符,黃星星波符韻律紅天行者,綠色中央魔法城堡,綠色中央魔法城堡黃星星波符韻律紅天行者,愛的白狗白色銀河季節,愛的白狗白色銀河季節綠色中央魔法城堡黃星星波符韻律紅天行者,"諧波64
太陽的輸出，表現意圖的智能","第3股 行使力量之道
心智之釋放
23山地剝卦",,,,,,,,,,,,,,
